query,before_retrieved_sources,after_retrieved_sources,changed
Что такое DataFrame?,"d01, d01, d04","d01, d01, d04",False
Как строить графики?,"d02, d02, d08","d02, d02, d08",False
Методы масштабирования признаков,"d03, d08, d07","d03, d08, d11",True
API sklearn: fit и predict,"d04, d04, d03","d04, d04, d11",True
Как оценить классификатор?,"d03, d05, d07","d03, d05, d07",False
Что такое L1 регуляризация?,"d06, d09, d05","d06, d09, d05",False
Как работает Random Forest?,"d07, d08, d07","d07, d08, d07",False
Принцип работы градиентного бустинга,"d08, d02, d06","d08, d02, d06",False
Обратное распространение ошибки,"d05, d06, d05","d05, d06, d05",False
Архитектура BERT,"d10, d02, d02","d10, d02, d02",False
Как бороться с дрейфом данных?,нет в базе,"d01, d12, d07",True
Что такое биннинг признаков?,нет в базе,"d03, d11, d05",True
