question,answer,retrieved_sources
Что такое DataFrame?,Основные структуры: Series (одномерный массив с индексами) и DataFrame (двумерная таблица). [d01:1] pandas — библиотека для анализа табличных данных в Python.,"d01:1, d01:2, d04:1"
Как строить графики?,"Основные функции: plot для линейных графиков, scatter для точечных диаграмм, hist для гистограмм, bar для столбчатых диаграмм. Можно создавать несколько подграфиков через subplot и figure.","d02:2, d02:1, d08:2"
Методы масштабирования признаков,"Масштабирование признаков: StandardScaler (нормализация по Гауссу), MinMaxScaler (приведение к [0,1]). Hyperparameters: n_estimators, max_depth, min_samples_split.","d03:1, d08:2, d07:2"
API sklearn: fit и predict,"[d04:1] sklearn предлагает унифицированный API: fit для обучения, predict для предсказания, transform для преобразования данных. Поддерживает линейные модели (LinearRegression, LogisticRegression), деревья решений (DecisionTreeClassifier), метод опорных векторов (SVC), k-ближайших соседей [d04:2] метод опорных векторов (SVC), k-ближайших соседей (KNeighborsClassifier).","d04:1, d04:2, d03:1"
Как оценить классификатор?,"Кодирование категориальных признаков через OneHotEncoder и LabelEncoder. Для классификации: accuracy (доля верных), precision (точность положительных), recall (полнота), F1-score (гармоническое среднее), ROC-AUC (площадь под кривой).","d03:1, d05:1, d07:2"
Что такое L1 регуляризация?,"Регуляризация L1 (Lasso) добавляет штраф за сумму модулей весов [d09:3] для классификации, MSE для регрессии. [d05:2] регрессии: MSE (среднеквадратичная ошибка), MAE (средняя абсолютная), R2 (коэффициент детерминации).","d06:1, d09:3, d05:2"
Как работает Random Forest?,[d07:1] Случайный лес строит множество решающих деревьев на бутстрап-выборках (случайная подвыборка с возвращением). Каждое дерево видит случайное подмножество признаков при разбиении.,"d07:1, d08:1, d07:2"
Принцип работы градиентного бустинга,"Основные функции: plot для линейных графиков, scatter для точечных диаграмм, hist для гистограмм, bar для столбчатых диаграмм. Гиперпараметры: learning_rate (шаг), n_estimators (число деревьев), max_depth.","d08:1, d02:1, d06:2"
Обратное распространение ошибки,"Confusion matrix показывает типы ошибок. Для регрессии: MSE (среднеквадратичная ошибка), MAE (средняя","d05:2, d06:1, d05:1"
Архитектура BERT,"Поддерживает настройку осей, легенд, Поддерживает настройку осей, легенд, подписей.","d10:1, d02:2, d02:1"
Как бороться с дрейфом данных?,"Методы head(), describe(), info() помогают быстро исследовать данные. [d01:2] CSV, Excel, SQL-запросы.","d01:2, d07:2, d08:2"
Что такое биннинг признаков?,"Кодирование категориальных признаков через OneHotEncoder и LabelEncoder. Масштабирование признаков: StandardScaler (нормализация по Гауссу), MinMaxScaler (приведение к [0,1]).","d03:1, d05:1, d09:2"
